,0,1,2,3,4,5,6,7
0,tensor(-0.3128),tensor(1.1992),tensor(-3.1735e-16),tensor(-0.4690),tensor(2.7278),tensor(-0.0554),tensor(-0.5266),tensor(-0.7996)
1,tensor(1.4388),tensor(0.3135),tensor(0.0113),tensor(-1.2983),tensor(7.1371e-17),tensor(0.3175),tensor(0.5715),tensor(0.9310)
2,tensor(1.1367e-16),tensor(1.9032e-16),tensor(0.2645),tensor(0.6156),tensor(-0.7226),tensor(0.0440),tensor(-0.2159),tensor(1.0162e-16)
3,tensor(1.1367e-16),tensor(-0.6038),tensor(-3.1735e-16),tensor(-0.3414),tensor(-0.4016),tensor(-0.9255),tensor(0.1840),tensor(1.0162e-16)
4,tensor(0.2710),tensor(0.3135),tensor(0.6190),tensor(-1.2983),tensor(-0.7226),tensor(0.9265),tensor(1.5066),tensor(0.2717)
5,tensor(1.1469),tensor(1.9032e-16),tensor(-3.1735e-16),tensor(1.1897),tensor(7.1371e-17),tensor(-0.4656),tensor(1.1535e-16),tensor(-0.2227)
6,tensor(-1.1887),tensor(0.3451),tensor(-3.1735e-16),tensor(-4.5645e-17),tensor(-0.7226),tensor(0.3299),tensor(-0.8311),tensor(-0.9644)
7,tensor(-0.8967),tensor(-0.1926),tensor(-3.1735e-16),tensor(0.9983),tensor(1.0605),tensor(0.8022),tensor(-0.5450),tensor(1.0162e-16)
8,tensor(2.3147),tensor(0.6298),tensor(0.7710),tensor(0.8069),tensor(-0.7226),tensor(0.7152),tensor(-0.6834),tensor(0.6014)
9,tensor(1.1469),tensor(1.4839),tensor(1.8345),tensor(-4.5645e-17),tensor(1.3369),tensor(7.8424e-17),tensor(1.1535e-16),tensor(1.0162e-16)
10,tensor(0.2710),tensor(1.9032e-16),tensor(-0.1913),tensor(0.0414),tensor(7.1371e-17),tensor(7.8424e-17),tensor(-0.3820),tensor(1.0162e-16)
11,tensor(-0.6048),tensor(1.9032e-16),tensor(0.2139),tensor(-0.0862),tensor(-0.2501),tensor(-0.3289),tensor(-0.7296),tensor(-0.9644)
12,tensor(1.7308),tensor(1.2941),tensor(-0.0900),tensor(-4.5645e-17),tensor(7.1371e-17),tensor(-0.9255),tensor(-0.4312),tensor(1.0959)
13,tensor(-0.3128),tensor(1.9032e-16),tensor(0.5177),tensor(0.8069),tensor(0.4364),tensor(0.1932),tensor(-0.4958),tensor(-0.6348)
14,tensor(1.1367e-16),tensor(1.9032e-16),tensor(0.0113),tensor(1.0621),tensor(0.5969),tensor(7.8424e-17),tensor(0.4270),tensor(-0.9644)
15,tensor(-0.3128),tensor(0.1870),tensor(0.9229),tensor(1.3173),tensor(7.1371e-17),tensor(0.9514),tensor(0.7315),tensor(-0.5524)
16,tensor(1.1367e-16),tensor(-0.0345),tensor(-3.5337),tensor(-1.2983),tensor(-0.7226),tensor(-1.4972),tensor(1.1252),tensor(3.1561)
17,tensor(0.5630),tensor(1.0727),tensor(0.4165),tensor(-4.5645e-17),tensor(7.1371e-17),tensor(1.7966),tensor(0.3224),tensor(-0.5524)
18,tensor(1.1367e-16),tensor(1.9032e-16),tensor(-0.1913),tensor(0.7432),tensor(7.1371e-17),tensor(1.2000),tensor(0.1101),tensor(-0.4699)
19,tensor(1.1367e-16),tensor(1.9032e-16),tensor(-3.5337),tensor(-4.5645e-17),tensor(-0.7226),tensor(7.8424e-17),tensor(-1.1202),tensor(-0.9644)
20,tensor(-0.0209),tensor(2.0217),tensor(-3.1735e-16),tensor(1.1897),tensor(7.1371e-17),tensor(0.6655),tensor(1.1535e-16),tensor(-0.2227)
21,tensor(1.1469),tensor(-0.4140),tensor(-3.1735e-16),tensor(-4.5645e-17),tensor(7.1371e-17),tensor(-0.8758),tensor(1.1990),tensor(0.0245)
22,tensor(1.1367e-16),tensor(-0.3192),tensor(-3.1735e-16),tensor(0.5518),tensor(0.3919),tensor(7.8424e-17),tensor(1.1535e-16),tensor(-0.5524)
23,tensor(2.6066),tensor(0.7880),tensor(-3.1735e-16),tensor(-4.5645e-17),tensor(0.2581),tensor(-1.1741),tensor(1.1535e-16),tensor(1.9200)
24,tensor(-1.1887),tensor(1.9032e-16),tensor(0.4165),tensor(-4.5645e-17),tensor(-0.5978),tensor(3.4497),tensor(6.0097),tensor(1.0162e-16)
25,tensor(1.1367e-16),tensor(-0.6355),tensor(-3.1735e-16),tensor(0.1690),tensor(-0.7226),tensor(7.8424e-17),tensor(-0.3020),tensor(-1.0468)
26,tensor(-0.6048),tensor(1.9032e-16),tensor(0.9229),tensor(-1.2983),tensor(-0.7226),tensor(7.8424e-17),tensor(1.1535e-16),tensor(1.0162e-16)
27,tensor(1.1367e-16),tensor(1.9584),tensor(0.2139),tensor(-1.2983),tensor(-0.7226),tensor(-0.1424),tensor(1.1535e-16),tensor(1.0162e-16)
