,0,1,2,3,4,5,6,7
0,,75.0,64.0,24.0,55.0,29.7,0.37,
1,2.0,,76.0,37.0,105.0,39.7,0.215,
2,13.0,129.0,,30.0,,,,44.0
3,,72.0,78.0,25.0,,31.6,0.28,38.0
4,,,70.0,32.0,,37.1,,43.0
5,2.0,,50.0,23.0,76.0,30.4,0.968,21.0
6,0.0,,0.0,0.0,,,,25.0
7,,183.0,,0.0,0.0,,0.212,36.0
8,,138.0,,0.0,0.0,,0.42,35.0
9,1.0,,66.0,,56.0,,,26.0
10,9.0,123.0,70.0,,94.0,33.1,0.374,40.0
11,,131.0,68.0,21.0,166.0,,0.16,28.0
12,12.0,106.0,80.0,0.0,,23.6,0.137,44.0
13,,140.0,94.0,0.0,0.0,,0.734,45.0
14,0.0,107.0,76.0,0.0,0.0,45.3,0.686,24.0
15,3.0,182.0,74.0,,0.0,30.5,0.345,29.0
16,8.0,151.0,78.0,32.0,210.0,42.9,0.516,36.0
17,,76.0,62.0,0.0,,34.0,0.391,25.0
18,8.0,112.0,,,155.0,,1.19,
19,4.0,103.0,60.0,,192.0,24.0,0.966,33.0
20,1.0,,,41.0,,49.3,0.358,27.0
21,2.0,115.0,,22.0,0.0,30.8,,21.0
22,1.0,,76.0,,,,,29.0
23,,129.0,,0.0,,31.2,,29.0
24,3.0,171.0,,,135.0,33.3,,24.0
25,2.0,100.0,54.0,28.0,105.0,37.8,0.498,24.0
26,8.0,179.0,,42.0,130.0,,,
27,,119.0,,13.0,50.0,,0.205,
28,0.0,,88.0,44.0,510.0,43.3,,26.0
29,1.0,,55.0,,0.0,19.1,0.258,
30,1.0,84.0,64.0,23.0,115.0,,,28.0
31,,93.0,60.0,25.0,,28.7,0.532,
32,,,50.0,,392.0,33.9,,
33,4.0,109.0,64.0,44.0,99.0,,0.905,
34,,173.0,78.0,32.0,265.0,,,
35,4.0,90.0,,47.0,54.0,37.7,0.362,29.0
36,6.0,125.0,76.0,0.0,0.0,33.8,0.121,54.0
37,2.0,,75.0,32.0,0.0,,0.148,21.0
38,1.0,143.0,86.0,30.0,330.0,30.1,,23.0
39,,150.0,,42.0,342.0,34.7,0.718,42.0
40,,101.0,76.0,48.0,180.0,,0.171,63.0
41,7.0,105.0,0.0,0.0,,,0.305,
42,6.0,109.0,,27.0,0.0,25.0,0.206,27.0
43,8.0,95.0,72.0,0.0,0.0,36.8,0.485,57.0
44,1.0,,64.0,13.0,,,0.415,
45,,71.0,,27.0,0.0,28.0,0.586,
46,0.0,117.0,,31.0,53.0,45.2,,24.0
47,6.0,129.0,90.0,7.0,326.0,19.6,,60.0
48,0.0,108.0,76.0,36.0,0.0,49.6,0.364,26.0
49,,179.0,70.0,0.0,0.0,35.1,0.2,37.0
50,4.0,118.0,70.0,0.0,0.0,44.5,0.904,26.0
51,1.0,100.0,,12.0,,,,
52,,61.0,82.0,28.0,0.0,34.4,0.243,46.0
53,1.0,,102.0,28.0,,32.8,0.234,45.0
54,14.0,,62.0,,0.0,33.6,,38.0
55,2.0,119.0,,0.0,0.0,19.6,,72.0
56,2.0,155.0,74.0,,96.0,26.6,,27.0
57,,,,0.0,0.0,26.8,0.268,27.0
58,0.0,101.0,65.0,,0.0,,0.237,
59,0.0,198.0,66.0,32.0,274.0,41.3,0.502,28.0
60,,123.0,,35.0,240.0,,,22.0
61,,,74.0,,23.0,27.7,,21.0
62,4.0,154.0,62.0,31.0,284.0,32.8,0.237,23.0
63,,86.0,66.0,52.0,65.0,41.3,0.917,29.0
64,0.0,138.0,60.0,35.0,167.0,34.6,0.534,21.0
65,2.0,,68.0,41.0,235.0,39.3,,27.0
66,,119.0,0.0,0.0,0.0,25.2,0.209,37.0
67,2.0,105.0,80.0,45.0,191.0,33.7,0.711,
68,4.0,123.0,62.0,0.0,,,,35.0
69,4.0,,70.0,32.0,88.0,33.1,0.446,22.0
70,5.0,115.0,76.0,0.0,0.0,31.2,0.343,44.0
71,14.0,100.0,78.0,25.0,184.0,36.6,0.412,46.0
72,8.0,109.0,76.0,,114.0,27.9,0.64,
73,4.0,85.0,58.0,22.0,,,0.306,28.0
74,5.0,143.0,78.0,0.0,0.0,45.0,,47.0
75,10.0,122.0,78.0,31.0,0.0,,0.512,45.0
76,4.0,171.0,72.0,0.0,0.0,43.6,,
77,8.0,,74.0,,,38.3,0.457,39.0
78,4.0,129.0,86.0,,270.0,,,23.0
79,5.0,139.0,,35.0,160.0,31.6,0.361,25.0
80,3.0,87.0,60.0,18.0,0.0,,0.444,
81,6.0,111.0,,39.0,0.0,34.2,0.26,
82,3.0,,50.0,32.0,88.0,,,
83,2.0,,76.0,18.0,,31.6,0.649,23.0
84,1.0,189.0,,23.0,846.0,30.1,0.398,59.0
85,3.0,,74.0,,0.0,31.6,0.197,25.0
86,1.0,79.0,75.0,30.0,0.0,32.0,0.396,22.0
87,1.0,,90.0,,220.0,49.7,0.325,31.0
88,,105.0,58.0,,0.0,24.3,0.187,21.0
89,5.0,97.0,,27.0,0.0,35.6,0.378,52.0
90,0.0,84.0,82.0,,,38.2,0.233,23.0
91,5.0,144.0,82.0,,285.0,32.0,0.452,58.0
92,0.0,140.0,65.0,26.0,130.0,42.6,0.431,24.0
93,7.0,106.0,92.0,,0.0,22.7,0.235,
94,6.0,124.0,72.0,0.0,,27.6,0.368,29.0
95,0.0,,64.0,,92.0,34.9,0.725,23.0
96,,96.0,,18.0,,33.6,0.997,43.0
97,1.0,,66.0,15.0,,,0.487,
98,,,70.0,,0.0,,0.34,
99,5.0,116.0,,40.0,215.0,39.4,0.201,
100,12.0,88.0,74.0,40.0,54.0,35.3,0.378,48.0
101,5.0,0.0,80.0,32.0,,41.0,,37.0
102,,119.0,,27.0,0.0,38.8,0.259,
103,,148.0,72.0,35.0,0.0,,0.627,50.0
104,4.0,125.0,70.0,18.0,,,,45.0
105,1.0,,62.0,13.0,182.0,24.0,0.138,
106,,121.0,52.0,,,36.0,0.127,25.0
107,1.0,107.0,68.0,19.0,0.0,26.5,0.165,24.0
108,2.0,99.0,60.0,,160.0,36.6,0.453,21.0
109,6.0,,74.0,,193.0,29.3,0.839,39.0
110,4.0,83.0,86.0,19.0,0.0,,0.317,34.0
111,,,,,225.0,,0.423,37.0
112,,103.0,,40.0,0.0,,0.587,51.0
113,,95.0,72.0,,,37.7,0.37,27.0
114,0.0,100.0,70.0,26.0,,,0.597,
115,0.0,,0.0,0.0,0.0,32.3,0.839,
116,0.0,,86.0,17.0,105.0,29.3,0.695,27.0
117,11.0,143.0,,33.0,146.0,36.6,0.254,51.0
118,,115.0,98.0,0.0,0.0,52.9,0.209,28.0
119,2.0,100.0,68.0,25.0,71.0,,,26.0
120,7.0,125.0,86.0,0.0,0.0,37.6,0.304,51.0
121,1.0,111.0,86.0,,0.0,30.1,0.143,
122,,169.0,74.0,19.0,125.0,29.9,0.268,31.0
123,4.0,134.0,72.0,0.0,0.0,23.8,0.277,60.0
124,6.0,,60.0,19.0,54.0,26.9,0.497,
125,1.0,126.0,56.0,29.0,152.0,28.7,0.801,21.0
126,10.0,,,,,25.9,0.167,31.0
127,5.0,162.0,,0.0,0.0,37.7,,52.0
128,,,74.0,30.0,100.0,,0.404,23.0
129,0.0,,,44.0,78.0,40.6,0.496,21.0
130,4.0,,60.0,,318.0,30.9,0.15,29.0
131,12.0,140.0,,43.0,325.0,,0.528,58.0
132,,129.0,76.0,28.0,,,,39.0
133,1.0,119.0,44.0,47.0,63.0,,0.28,25.0
134,1.0,97.0,64.0,19.0,82.0,18.2,0.299,21.0
135,3.0,111.0,,39.0,0.0,30.1,0.557,30.0
136,8.0,,,,0.0,32.0,0.6,42.0
137,,95.0,82.0,25.0,180.0,35.0,0.233,43.0
138,0.0,84.0,,22.0,,35.8,0.545,21.0
139,8.0,167.0,106.0,46.0,231.0,37.6,0.165,43.0
140,,,,0.0,0.0,23.2,,
141,5.0,99.0,74.0,,0.0,29.0,0.203,32.0
142,,136.0,82.0,0.0,0.0,0.0,,69.0
143,1.0,128.0,82.0,17.0,,27.5,,22.0
144,10.0,129.0,62.0,36.0,,41.2,,
145,,81.0,,40.0,48.0,,0.261,42.0
146,,105.0,84.0,0.0,0.0,,0.741,62.0
147,0.0,180.0,90.0,26.0,90.0,36.5,0.314,35.0
148,1.0,128.0,48.0,45.0,194.0,40.5,0.613,
149,5.0,124.0,74.0,0.0,,,0.22,
150,2.0,123.0,48.0,32.0,165.0,,,
151,,187.0,70.0,22.0,200.0,36.4,0.408,36.0
152,,88.0,,26.0,,28.4,,
153,2.0,,70.0,32.0,66.0,25.0,0.187,
154,7.0,142.0,,33.0,190.0,28.8,,61.0
155,,98.0,,17.0,120.0,,0.198,22.0
156,13.0,152.0,90.0,33.0,29.0,26.8,0.731,43.0
157,1.0,88.0,30.0,42.0,99.0,,0.496,
158,3.0,126.0,88.0,,235.0,39.3,,
159,6.0,,80.0,37.0,370.0,46.2,,46.0
160,0.0,95.0,78.0,34.0,171.0,,0.366,22.0
161,,,,43.0,75.0,,0.263,
162,,,76.0,24.0,600.0,28.7,0.687,52.0
163,8.0,99.0,,,,,,50.0
164,10.0,108.0,66.0,0.0,0.0,32.4,0.272,42.0
165,,,76.0,27.0,200.0,35.9,0.483,
166,0.0,135.0,,42.0,,42.3,,24.0
167,13.0,106.0,70.0,0.0,0.0,34.2,0.251,52.0
168,2.0,99.0,,,,,0.235,27.0
169,0.0,,60.0,0.0,0.0,35.3,,25.0
170,6.0,107.0,88.0,,0.0,36.8,0.727,31.0
171,6.0,96.0,,,0.0,,0.19,28.0
172,0.0,,,0.0,0.0,32.4,0.393,
173,2.0,100.0,70.0,,,40.5,0.677,25.0
174,11.0,120.0,80.0,,,,0.785,48.0
175,3.0,,58.0,31.0,44.0,29.5,0.43,22.0
176,2.0,,0.0,23.0,0.0,,0.773,25.0
177,1.0,106.0,76.0,0.0,0.0,37.5,0.197,26.0
178,,146.0,0.0,0.0,0.0,,,28.0
179,6.0,154.0,78.0,41.0,140.0,46.1,0.571,
180,1.0,199.0,76.0,43.0,0.0,42.9,,22.0
181,6.0,151.0,62.0,31.0,120.0,35.5,,28.0
182,8.0,133.0,72.0,0.0,0.0,32.9,,
183,,146.0,,38.0,360.0,28.0,,29.0
184,0.0,,78.0,,,,,24.0
185,3.0,163.0,70.0,18.0,105.0,31.6,0.268,28.0
186,4.0,132.0,,0.0,0.0,32.9,0.302,23.0
187,2.0,,58.0,24.0,275.0,,,
188,,,84.0,41.0,,,0.395,
189,2.0,87.0,58.0,16.0,52.0,32.7,0.166,25.0
190,7.0,195.0,70.0,33.0,145.0,,,55.0
191,3.0,145.0,0.0,0.0,0.0,31.6,0.949,28.0
192,0.0,113.0,76.0,0.0,0.0,33.3,0.278,23.0
193,9.0,154.0,78.0,30.0,,30.9,0.164,
194,10.0,168.0,74.0,0.0,0.0,38.0,0.537,34.0
195,,102.0,86.0,36.0,120.0,,,
196,2.0,,,,0.0,26.8,,
197,3.0,80.0,0.0,0.0,,0.0,0.174,22.0
198,,,60.0,0.0,,26.2,,23.0
199,1.0,87.0,60.0,37.0,75.0,,0.509,22.0
200,4.0,144.0,,,140.0,,0.287,37.0
201,0.0,120.0,74.0,18.0,63.0,30.5,0.285,26.0
202,,99.0,72.0,17.0,0.0,25.6,,28.0
203,,128.0,,37.0,182.0,43.3,,
204,7.0,161.0,86.0,0.0,,30.4,0.165,
205,3.0,,,,0.0,37.3,,40.0
206,0.0,124.0,,20.0,,27.4,0.254,
207,,113.0,,13.0,0.0,30.4,0.302,49.0
208,,,84.0,,,28.3,0.26,42.0
209,3.0,115.0,,39.0,140.0,,0.15,28.0
210,5.0,,72.0,28.0,0.0,23.9,0.407,27.0
211,10.0,139.0,80.0,0.0,,27.1,1.44,57.0
212,8.0,,88.0,,108.0,38.5,0.349,
213,,108.0,68.0,20.0,0.0,27.3,0.787,32.0
214,,80.0,66.0,30.0,,26.2,,41.0
215,3.0,,70.0,0.0,0.0,32.5,0.27,
216,5.0,121.0,72.0,23.0,,26.2,,
217,11.0,,,0.0,0.0,30.1,,35.0
218,,91.0,0.0,0.0,,29.8,,31.0
219,1.0,,64.0,32.0,156.0,35.1,0.692,
220,9.0,,74.0,31.0,0.0,44.0,0.403,43.0
221,13.0,76.0,60.0,0.0,,,,41.0
222,9.0,91.0,68.0,0.0,0.0,24.2,0.2,58.0
223,0.0,180.0,78.0,63.0,14.0,59.4,2.42,25.0
224,3.0,129.0,64.0,29.0,105.0,26.4,0.219,28.0
225,,110.0,76.0,0.0,0.0,27.8,0.237,
226,0.0,,,0.0,0.0,21.7,0.735,67.0
227,1.0,115.0,70.0,30.0,96.0,,0.529,
228,1.0,120.0,,48.0,200.0,,1.16,41.0
229,13.0,,88.0,37.0,140.0,40.6,1.17,39.0
230,13.0,106.0,72.0,,0.0,,0.178,
231,0.0,137.0,68.0,14.0,148.0,24.8,0.143,21.0
232,,,80.0,,0.0,,0.186,69.0
233,,79.0,60.0,,48.0,43.5,0.678,23.0
234,3.0,81.0,86.0,16.0,,,,22.0
235,,143.0,74.0,22.0,61.0,26.2,0.256,21.0
236,13.0,104.0,72.0,,,,,38.0
237,1.0,96.0,122.0,0.0,0.0,22.4,0.207,27.0
238,2.0,,58.0,,,,0.614,
239,,136.0,,26.0,135.0,26.0,0.647,
240,,129.0,84.0,0.0,0.0,,0.284,27.0
241,,152.0,94.0,0.0,0.0,,1.46,
242,,102.0,,0.0,0.0,30.8,0.18,36.0
243,1.0,163.0,,0.0,0.0,39.0,1.22,33.0
244,1.0,103.0,80.0,11.0,82.0,19.4,0.491,22.0
245,,138.0,82.0,0.0,0.0,40.1,0.236,28.0
246,2.0,93.0,64.0,32.0,160.0,38.0,0.674,23.0
247,,67.0,76.0,0.0,0.0,45.3,0.194,46.0
248,,114.0,,0.0,,,0.432,37.0
249,0.0,123.0,88.0,37.0,0.0,,,29.0
250,,100.0,66.0,,196.0,32.0,0.444,42.0
251,6.0,162.0,62.0,0.0,0.0,24.3,0.178,50.0
252,3.0,106.0,72.0,0.0,0.0,25.8,0.207,27.0
253,5.0,116.0,,15.0,,32.3,0.66,35.0
254,5.0,187.0,76.0,,207.0,43.6,,53.0
255,5.0,139.0,,35.0,140.0,28.6,0.411,26.0
256,,100.0,66.0,20.0,,32.9,0.867,
257,4.0,96.0,56.0,17.0,49.0,20.8,0.34,26.0
258,9.0,130.0,70.0,,0.0,34.2,0.652,45.0
259,4.0,110.0,66.0,0.0,,31.9,0.471,29.0
260,,114.0,64.0,0.0,0.0,28.9,0.126,24.0
261,,188.0,,,,47.9,0.137,43.0
262,6.0,105.0,80.0,,,,,26.0
263,11.0,111.0,84.0,40.0,0.0,46.8,0.925,45.0
264,1.0,,68.0,8.0,0.0,24.5,1.14,36.0
265,0.0,107.0,62.0,,74.0,36.6,0.757,25.0
266,0.0,,76.0,56.0,,23.8,0.466,
267,,103.0,108.0,37.0,0.0,,0.305,65.0
268,0.0,,80.0,,,36.5,0.33,26.0
